rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
523,Millikin University,Decatur,IL,3.0,0.04,42900.0,42719.0,0,0.37,0.45,0.95,0.56,0,1,2368.0,0.12,0.1,65297.0,1068.0,23.0,18206.0,13677.0,0.56,0.65
524,Illinois State University,Normal,IL,3.0,0.04,45100.0,44919.0,1,-0.08,0.44,0.92,0.58,0,1,18393.0,0.14,0.08,71555.0,1110.0,24.0,19138.0,10494.0,0.71,0.71
525,Eastern Illinois University,Charleston,IL,3.0,0.04,41200.0,41031.0,1,-0.25,0.46,0.94,0.58,0,0,8967.0,0.14,0.1,64356.0,990.0,21.0,15893.0,10922.0,0.68,0.59
526,Franklin College,Franklin,IN,3.0,0.03,41000.0,40868.0,0,-0.25,0.39,0.97,0.55,0,1,1028.0,0.06,0.02,61833.0,1041.0,23.0,16837.0,13398.0,0.6,0.55
527,Saint Cloud State University,Saint Cloud,MN,3.0,0.03,40800.0,40672.0,1,-0.75,0.49,0.96,0.58,0,1,14673.0,0.04,0.14,64786.0,1011.0,22.0,13254.0,9885.0,0.9,0.49
528,Georgia Southern University,Statesboro,GA,3.0,0.03,39300.0,39183.0,1,-0.53,0.57,0.93,0.52,0,0,12233.0,0.33,0.08,59227.0,1089.0,23.0,14219.0,11495.0,0.56,0.47
529,Clemson University,Clemson,SC,3.0,0.03,49400.0,49261.0,1,1.01,0.41,0.95,0.45,0,1,13866.0,0.23,0.06,60953.0,1243.0,28.0,15066.0,11056.0,0.58,0.8
530,Southwestern Adventist University,Keene,TX,3.0,0.03,37900.0,37796.0,0,-0.77,0.69,0.88,0.59,0,1,1037.0,0.29,0.31,57218.0,,,19231.0,16423.0,,0.46
531,Medaille College,Buffalo,NY,3.0,0.03,38200.0,38099.0,0,-1.77,0.57,0.94,0.72,1,1,1472.0,0.17,0.53,54168.0,899.0,20.0,19757.0,13074.0,0.68,0.51
532,West Chester University of Pennsylvania,West Chester,PA,3.0,0.03,46500.0,46332.0,1,-0.13,0.38,0.93,0.62,1,1,9716.0,0.14,0.1,73387.0,1075.0,,20314.0,15326.0,0.47,0.68
533,State University of New York at New Paltz,New Paltz,NY,3.0,0.02,46000.0,45908.0,1,0.12,0.52,0.84,0.65,1,1,5698.0,0.22,0.16,70803.0,1137.0,25.0,15072.0,9082.0,0.37,0.69
534,Fayetteville State University,Fayetteville,NC,3.0,0.02,31100.0,31041.0,1,-1.86,0.83,0.92,0.65,0,1,3787.0,0.43,0.3,49521.0,841.0,18.0,3695.0,2634.0,0.61,0.31
535,Colorado State University-Pueblo,Pueblo,CO,3.0,0.02,36200.0,36109.0,1,-1.07,0.69,0.94,0.59,0,1,4443.0,0.31,0.35,52024.0,972.0,21.0,11342.0,8595.0,0.93,0.32
536,Frostburg State University,Frostburg,MD,3.0,0.01,43600.0,43535.0,1,-0.47,0.49,0.93,0.51,1,1,4250.0,0.19,0.08,69333.0,971.0,19.0,15287.0,12391.0,0.55,0.45
537,The University of Texas at Dallas,Richardson,TX,3.0,0.01,49500.0,49465.0,1,0.85,0.56,0.83,0.54,0,1,7438.0,0.29,0.36,76770.0,1248.0,28.0,9873.0,5823.0,0.53,0.61
538,La Sierra University,Riverside,CA,3.0,0.01,41300.0,41243.0,0,-0.87,0.68,0.76,0.63,1,1,1285.0,0.41,0.14,63616.0,914.0,18.0,22112.0,18618.0,0.47,0.45
