rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
616,Union College,Barbourville,KY,3.0,-0.16,32500.0,33055.0,0,-1.33,0.74,0.96,0.5,0,0,568.0,0.12,0.23,39384.0,985.0,21.0,14955.0,13552.0,0.74,0.32
617,Upper Iowa University,Fayette,IA,3.0,-0.16,40300.0,40991.0,0,0.04,0.63,0.94,0.62,0,0,4252.0,0.15,0.61,56579.0,1010.0,22.0,16875.0,17013.0,0.6,0.45
618,Wittenberg University,Springfield,OH,3.0,-0.17,42700.0,43478.0,0,0.41,0.38,0.96,0.56,0,1,2095.0,0.1,0.04,68602.0,1140.0,25.0,25429.0,24198.0,0.73,0.71
619,University of North Carolina at Charlotte,Charlotte,NC,3.0,-0.17,41700.0,42457.0,1,-0.21,0.56,0.92,0.57,0,1,14105.0,0.24,0.22,64190.0,1067.0,23.0,10290.0,6797.0,0.71,0.53
620,University of Minnesota-Duluth,Duluth,MN,3.0,-0.17,43300.0,44074.0,1,0.08,0.4,0.96,0.53,0,1,8181.0,0.04,0.06,64867.0,1109.0,24.0,14724.0,7953.0,0.76,0.55
621,Wells College,Aurora,NY,3.0,-0.17,33600.0,34200.0,0,0.54,0.62,0.91,1.0,1,0,425.0,0.1,0.14,58564.0,1058.0,24.0,22021.0,17910.0,0.63,0.59
622,Chatham University,Pittsburgh,PA,3.0,-0.17,34300.0,34917.0,0,0.09,0.55,0.95,1.0,1,1,567.0,0.14,0.16,57482.0,,,22443.0,18051.0,0.62,0.6
623,Texas A & M University-College Station,College Station,TX,3.0,-0.18,52900.0,53948.0,1,0.96,0.47,0.89,0.5,0,1,36571.0,0.31,0.07,63675.0,1215.0,27.0,11703.0,5109.0,0.63,0.81
624,Cabrini University,Radnor,PA,3.0,-0.18,42700.0,43513.0,0,-0.87,0.41,0.91,0.62,1,1,1635.0,0.16,0.16,73378.0,918.0,20.0,25642.0,20006.0,0.72,0.52
625,California State University-Los Angeles,Los Angeles,CA,3.0,-0.18,44900.0,45785.0,1,-1.66,0.85,0.56,0.65,1,1,14150.0,0.63,0.37,50683.0,876.0,18.0,3742.0,2311.0,0.57,0.36
626,Dakota State University,Madison,SD,3.0,-0.18,37400.0,38109.0,1,-0.42,0.57,0.97,0.47,0,0,1531.0,0.03,0.15,51795.0,1008.0,22.0,12585.0,10239.0,0.92,0.37
627,University of New Hampshire-Main Campus,Durham,NH,3.0,-0.18,47300.0,48194.0,1,0.41,0.35,0.93,0.59,1,1,5562.0,0.04,0.07,76173.0,1100.0,,20646.0,13024.0,0.74,0.76
628,Thomas College,Waterville,ME,3.0,-0.18,36600.0,37326.0,0,-1.08,0.6,0.96,0.49,1,0,606.0,0.03,0.09,49382.0,840.0,18.0,17410.0,15065.0,0.93,0.45
629,CUNY Hunter College,New York,NY,3.0,-0.19,44800.0,45698.0,1,-0.62,0.83,0.59,0.71,1,1,14785.0,0.51,0.25,53611.0,1150.0,,4714.0,3125.0,0.25,0.46
630,Pacific Lutheran University,Tacoma,WA,3.0,-0.19,45900.0,46837.0,0,0.37,0.43,0.9,0.65,1,1,3114.0,0.1,0.2,66185.0,1098.0,24.0,21769.0,15954.0,0.77,0.66
631,West Liberty University,West Liberty,WV,3.0,-0.2,33200.0,33897.0,1,-1.2,0.62,0.98,0.55,0,0,2633.0,0.04,0.14,45693.0,966.0,21.0,7867.0,6906.0,0.75,0.47
632,University of Wisconsin-Whitewater,Whitewater,WI,3.0,-0.2,41200.0,42079.0,1,-0.25,0.42,0.96,0.54,0,0,9119.0,0.09,0.09,68114.0,1049.0,23.0,12057.0,7095.0,0.82,0.54
633,Cornell College,Mount Vernon,IA,3.0,-0.2,41900.0,42809.0,0,0.54,0.45,0.93,0.55,0,1,959.0,0.12,0.02,66515.0,1197.0,26.0,16408.0,11338.0,0.46,0.7
634,Saint Peter's University,Jersey City,NJ,3.0,-0.2,44500.0,45476.0,0,-1.12,0.69,0.67,0.53,1,1,2476.0,0.49,0.15,60131.0,938.0,19.0,15895.0,13939.0,0.67,0.51
635,CUNY Queens College,Queens,NY,3.0,-0.2,48000.0,49021.0,1,-0.13,0.86,0.55,0.64,1,1,10626.0,0.4,0.29,63268.0,1105.0,,3524.0,2174.0,0.3,0.53
636,Ithaca College,Ithaca,NY,3.0,-0.21,50400.0,51531.0,0,0.91,0.32,0.9,0.57,1,1,6097.0,0.1,0.02,74471.0,1151.0,26.0,31671.0,22282.0,0.68,0.74
637,Huntingdon College,Montgomery,AL,3.0,-0.21,37100.0,37924.0,0,0.4,0.56,0.96,0.64,0,1,610.0,0.24,0.08,52530.0,995.0,21.0,16662.0,14189.0,0.62,0.52
638,Mount Marty College,Yankton,SD,3.0,-0.21,32300.0,33019.0,0,-0.75,0.67,0.98,0.7,0,0,911.0,0.03,0.32,48708.0,1030.0,22.0,27246.0,24849.0,0.69,0.51
639,Culver-Stockton College,Canton,MO,3.0,-0.21,36100.0,36929.0,0,-0.58,0.55,0.96,0.5,0,0,275.0,0.12,0.07,50552.0,988.0,21.0,16224.0,14035.0,0.66,0.41
640,SUNY College at Potsdam,Potsdam,NY,3.0,-0.21,38000.0,38859.0,1,-0.27,0.6,0.94,0.6,1,0,3435.0,0.07,0.14,55282.0,,,13243.0,8845.0,0.63,0.51
641,Stetson University,DeLand,FL,3.0,-0.21,42600.0,43577.0,0,0.44,0.47,0.89,0.6,0,1,2166.0,0.16,0.11,62912.0,1128.0,25.0,18837.0,16248.0,0.66,0.64
642,Montreat College,Montreat,NC,3.0,-0.21,40800.0,41741.0,0,-0.5,0.55,0.93,0.64,0,1,997.0,0.19,0.6,59402.0,986.0,22.0,18592.0,16543.0,0.51,0.44
643,Texas State University,San Marcos,TX,3.0,-0.22,43700.0,44725.0,1,-0.23,0.55,0.88,0.56,0,1,20179.0,0.37,0.19,63871.0,1055.0,23.0,11001.0,10410.0,0.78,0.56
644,Smith College,Northampton,MA,3.0,-0.22,42700.0,43726.0,0,1.66,0.44,0.86,1.0,1,1,2665.0,0.18,0.13,71571.0,,,25290.0,12207.0,0.45,0.85
645,Carthage College,Kenosha,WI,3.0,-0.22,42400.0,43385.0,0,-0.25,0.43,0.91,0.53,0,1,2259.0,0.15,0.11,72709.0,1125.0,25.0,27311.0,22648.0,0.69,0.59
646,Southwest Minnesota State University,Marshall,MN,3.0,-0.22,35600.0,36458.0,1,-0.75,0.56,0.96,0.57,0,0,4408.0,0.06,0.13,54093.0,1010.0,22.0,12384.0,9479.0,0.8,0.39
647,Westminster College,Fulton,MO,3.0,-0.22,41500.0,42482.0,0,0.37,0.46,0.96,0.42,0,0,770.0,0.08,0.03,62423.0,1112.0,25.0,19148.0,16796.0,0.71,0.63
648,University of Rhode Island,Kingston,RI,3.0,-0.22,48200.0,49353.0,1,0.25,0.41,0.88,0.59,1,1,10223.0,0.11,0.11,71638.0,1064.0,24.0,15847.0,10688.0,0.86,0.63
649,Harding University,Searcy,AR,3.0,-0.22,38600.0,39521.0,0,0.47,0.57,0.94,0.55,0,0,4078.0,0.15,0.07,59845.0,1141.0,25.0,14812.0,11424.0,0.72,0.63
650,Dickinson College,Carlisle,PA,3.0,-0.23,52100.0,53384.0,0,1.45,0.27,0.92,0.55,1,1,1599.0,0.11,0.0,76069.0,1280.0,29.0,25897.0,13916.0,0.42,0.84
651,Indiana University-Kokomo,Kokomo,IN,3.0,-0.23,33600.0,34421.0,1,-0.97,0.65,0.98,0.73,0,1,2275.0,0.06,0.43,59138.0,957.0,21.0,9961.0,6696.0,0.7,0.21
652,Marywood University,Scranton,PA,3.0,-0.23,38000.0,38939.0,0,-0.33,0.54,0.95,0.72,1,1,1608.0,0.05,0.19,55477.0,1044.0,23.0,20020.0,16790.0,0.7,0.62
653,Dordt College,Sioux Center,IA,3.0,-0.23,38400.0,39338.0,0,0.43,0.51,0.95,0.55,0,0,1018.0,0.07,0.01,59493.0,1096.0,24.0,20686.0,18895.0,0.8,0.66
654,Mount Vernon Nazarene University,Mount Vernon,OH,3.0,-0.24,39100.0,40112.0,0,-0.39,0.48,0.97,0.6,0,0,1975.0,0.06,0.39,59739.0,1070.0,23.0,19261.0,17069.0,0.72,0.57
655,Otterbein University,Westerville,OH,3.0,-0.24,41200.0,42279.0,0,0.08,0.41,0.96,0.63,0,1,2420.0,0.1,0.19,67304.0,1089.0,24.0,21835.0,18571.0,0.79,0.62
656,Salem State University,Salem,MA,3.0,-0.24,40400.0,41424.0,1,-0.87,0.56,0.86,0.66,1,1,5447.0,0.12,0.18,70832.0,990.0,,15028.0,11111.0,0.57,0.42
657,Willamette University,Salem,OR,3.0,-0.24,49200.0,50491.0,0,1.45,0.42,0.9,0.55,1,1,1753.0,0.11,0.03,63892.0,1236.0,29.0,23611.0,13313.0,0.41,0.77
658,Cumberland University,Lebanon,TN,3.0,-0.24,35000.0,35902.0,0,-0.91,0.66,0.95,0.51,0,1,226.0,0.15,0.19,55712.0,1028.0,22.0,15405.0,13423.0,0.49,0.34
659,Indiana State University,Terre Haute,IN,3.0,-0.25,36000.0,36964.0,1,-1.08,0.58,0.97,0.56,0,1,9482.0,0.11,0.12,54720.0,923.0,20.0,12327.0,8751.0,0.85,0.43
660,Concordia University-Wisconsin,Mequon,WI,3.0,-0.25,40700.0,41805.0,0,-0.69,0.5,0.95,0.66,0,1,3639.0,0.22,0.56,62155.0,1067.0,23.0,19421.0,15805.0,0.66,0.58
661,University of Nevada-Reno,Reno,NV,3.0,-0.25,45500.0,46722.0,1,-0.08,0.55,0.87,0.59,1,1,10478.0,0.17,0.25,65331.0,1061.0,23.0,13713.0,11531.0,0.88,0.51
662,Salem College,Winston-Salem,NC,3.0,-0.26,33200.0,34142.0,0,0.27,0.66,0.93,0.96,0,1,802.0,0.25,0.38,59956.0,1051.0,23.0,33319.0,30382.0,0.6,0.53
663,Miami University-Oxford,Oxford,OH,3.0,-0.26,45800.0,47073.0,1,1.15,0.44,0.96,0.57,0,1,15015.0,0.09,0.13,69773.0,1199.0,27.0,22456.0,16457.0,0.74,0.81
664,St Andrews University,Laurinburg,NC,3.0,-0.26,35800.0,36817.0,0,-0.62,0.55,0.92,0.61,0,0,198.0,0.24,0.12,61995.0,,,19550.0,16878.0,,0.43
665,Salisbury University,Salisbury,MD,3.0,-0.26,47300.0,48636.0,1,0.45,0.37,0.93,0.58,1,1,5719.0,0.19,0.09,76611.0,1138.0,24.0,14603.0,9396.0,0.53,0.67
666,Ferrum College,Ferrum,VA,3.0,-0.26,36500.0,37533.0,0,-1.41,0.56,0.93,0.39,0,0,917.0,0.2,0.06,62031.0,881.0,19.0,22503.0,14758.0,0.78,0.31
667,University of Massachusetts-Boston,Boston,MA,3.0,-0.26,45800.0,47092.0,1,-0.54,0.64,0.79,0.59,1,1,9865.0,0.23,0.37,67844.0,995.0,,12073.0,8621.0,0.68,0.4
668,DeSales University,Center Valley,PA,3.0,-0.26,48300.0,49639.0,0,0.16,0.32,0.92,0.57,1,0,2017.0,0.1,0.29,67210.0,1074.0,23.0,26016.0,20513.0,0.73,0.69
669,New Jersey City University,Jersey City,NJ,3.0,-0.27,41900.0,43104.0,1,-1.75,0.79,0.63,0.62,1,1,5903.0,0.53,0.29,57084.0,896.0,20.0,8923.0,7136.0,0.45,0.39
670,Lubbock Christian University,Lubbock,TX,3.0,-0.27,36700.0,37762.0,0,-0.65,0.64,0.94,0.56,0,1,567.0,0.32,0.3,50122.0,999.0,22.0,18572.0,16058.0,0.61,0.48
671,Concordia College-New York,Bronxville,NY,3.0,-0.27,45300.0,46615.0,0,-0.61,0.49,0.8,0.59,1,1,539.0,0.29,0.18,75991.0,899.0,18.0,19358.0,17111.0,0.7,0.5
672,University of Miami,Coral Gables,FL,3.0,-0.27,52400.0,53945.0,0,1.07,0.45,0.72,0.6,0,1,9020.0,0.38,0.12,70185.0,1326.0,30.0,28915.0,21931.0,0.38,0.78
673,Wesley College,Dover,DE,3.0,-0.28,41400.0,42642.0,0,-1.16,0.45,0.92,0.64,1,1,1756.0,0.25,0.33,69834.0,840.0,,31241.0,29841.0,0.2,0.33
674,Loras College,Dubuque,IA,3.0,-0.28,41200.0,42440.0,0,-0.08,0.43,0.95,0.5,0,1,1600.0,0.06,0.06,62643.0,1090.0,24.0,19726.0,16035.0,0.76,0.59
675,Hardin-Simmons University,Abilene,TX,3.0,-0.28,38600.0,39750.0,0,-0.39,0.55,0.93,0.52,0,1,1896.0,0.26,0.11,55254.0,1055.0,23.0,17658.0,15987.0,0.57,0.47
676,Gettysburg College,Gettysburg,PA,3.0,-0.28,52200.0,53805.0,0,1.16,0.27,0.91,0.52,1,1,2233.0,0.12,0.0,83285.0,1296.0,28.0,22856.0,10841.0,0.4,0.85
677,Kansas State University,Manhattan,KS,3.0,-0.28,43300.0,44601.0,1,0.08,0.51,0.95,0.49,0,1,18612.0,0.1,0.1,57756.0,,,14838.0,11962.0,0.99,0.56
678,Roanoke College,Salem,VA,3.0,-0.28,42500.0,43775.0,0,0.33,0.35,0.94,0.62,0,1,1721.0,0.11,0.06,70126.0,1086.0,24.0,23637.0,20251.0,0.7,0.69
679,Kennesaw State University,Kennesaw,GA,3.0,-0.29,41300.0,42581.0,1,-0.29,0.58,0.9,0.68,0,1,12254.0,0.2,0.46,79885.0,1062.0,22.0,12732.0,9968.0,0.64,0.41
680,Bethel College-North Newton,North Newton,KS,3.0,-0.29,37400.0,38560.0,0,0.2,0.61,0.93,0.51,0,0,525.0,0.15,0.1,56123.0,1048.0,23.0,16274.0,12586.0,0.7,0.52
681,McMurry University,Abilene,TX,3.0,-0.29,37200.0,38358.0,0,-0.43,0.63,0.93,0.52,0,1,1378.0,0.27,0.17,52408.0,944.0,20.0,17538.0,15164.0,0.61,0.36
682,Manchester University,North Manchester,IN,3.0,-0.29,38000.0,39206.0,0,-0.37,0.44,0.97,0.52,0,0,1095.0,0.09,0.02,59732.0,1007.0,22.0,17618.0,15416.0,0.64,0.51
683,California University of Pennsylvania,California,PA,3.0,-0.29,38100.0,39308.0,1,-1.0,0.56,0.98,0.54,1,1,5003.0,0.06,0.17,49678.0,960.0,,18304.0,15827.0,0.6,0.49
684,Aquinas College,Grand Rapids,MI,3.0,-0.29,38100.0,39307.0,0,0.08,0.48,0.95,0.71,0,1,325.0,0.12,0.21,63765.0,1090.0,24.0,11252.0,10806.0,0.79,0.52
685,Saint Vincent College,Latrobe,PA,3.0,-0.3,44200.0,45622.0,0,0.09,0.4,0.97,0.5,1,1,1104.0,0.06,0.08,54579.0,1064.0,23.0,17223.0,11091.0,0.67,0.73
686,Indiana University-Southeast,New Albany,IN,3.0,-0.3,34000.0,35111.0,1,-0.87,0.67,0.98,0.66,0,1,5167.0,0.07,0.35,56440.0,947.0,20.0,11913.0,8668.0,0.77,0.27
687,Quincy University,Quincy,IL,3.0,-0.3,38500.0,39756.0,0,-0.08,0.48,0.95,0.55,0,0,1118.0,0.11,0.12,58222.0,1007.0,22.0,15283.0,13586.0,0.91,0.5
688,Ball State University,Muncie,IN,3.0,-0.3,39000.0,40253.0,1,-0.13,0.47,0.97,0.56,0,1,3820.0,0.08,0.07,61347.0,1052.0,22.0,14243.0,8533.0,0.68,0.56
689,Dallas Baptist University,Dallas,TX,3.0,-0.3,42200.0,43581.0,0,-0.7,0.53,0.87,0.63,0,1,3340.0,0.37,0.53,67465.0,1114.0,24.0,17436.0,14764.0,0.44,0.56
690,Northern Illinois University,Dekalb,IL,3.0,-0.31,43900.0,45391.0,1,-0.08,0.51,0.88,0.54,0,1,17445.0,0.24,0.12,73883.0,1010.0,22.0,18410.0,14883.0,0.53,0.56
691,Southern Adventist University,Collegedale,TN,3.0,-0.31,38500.0,39775.0,0,-0.25,0.56,0.91,0.54,0,1,1540.0,0.19,0.09,59727.0,1021.0,22.0,18458.0,15874.0,0.49,0.55
692,Tulane University of Louisiana,New Orleans,LA,3.0,-0.31,52400.0,54168.0,0,2.22,0.37,0.91,0.59,0,1,7479.0,0.29,0.27,64976.0,1342.0,31.0,28462.0,20406.0,0.25,
693,Seton Hill University,Greensburg,PA,3.0,-0.31,35600.0,36796.0,0,-0.58,0.57,0.96,0.82,1,1,1128.0,0.1,0.33,51579.0,1023.0,23.0,19638.0,16552.0,0.67,0.45
694,University of Memphis,Memphis,TN,3.0,-0.32,37000.0,38294.0,1,-0.2,0.69,0.96,0.63,0,1,14734.0,0.45,0.32,57846.0,1030.0,22.0,10309.0,8428.0,0.66,0.38
695,Morningside College,Sioux City,IA,3.0,-0.32,35600.0,36827.0,0,-0.58,0.58,0.95,0.59,0,1,844.0,0.09,0.12,54593.0,1090.0,24.0,18249.0,15488.0,0.6,0.57
696,Austin Peay State University,Clarksville,TN,3.0,-0.32,34700.0,35894.0,1,-0.73,0.74,0.93,0.66,0,1,6477.0,0.23,0.41,51609.0,988.0,21.0,10348.0,8506.0,0.88,0.34
697,University of California-Santa Barbara,Santa Barbara,CA,3.0,-0.32,52000.0,53821.0,1,1.12,0.57,0.76,0.57,1,1,17716.0,0.31,0.06,75242.0,1205.0,27.0,16011.0,9384.0,0.45,0.8
698,The University of Texas at Austin,Austin,TX,3.0,-0.32,52800.0,54599.0,1,1.24,0.51,0.85,0.54,0,1,37655.0,0.36,0.08,69491.0,1256.0,28.0,15366.0,8766.0,0.47,0.81
699,San Diego State University,San Diego,CA,3.0,-0.32,48700.0,50406.0,1,-0.13,0.65,0.76,0.61,1,1,28042.0,0.35,0.21,66803.0,1087.0,24.0,10894.0,6444.0,0.3,0.66
700,SUNY College at Oswego,Oswego,NY,3.0,-0.32,40700.0,42091.0,1,-0.21,0.54,0.93,0.55,1,0,6828.0,0.1,0.13,59103.0,1114.0,23.0,14467.0,9275.0,0.48,0.57
701,Endicott College,Beverly,MA,3.0,-0.33,42800.0,44330.0,0,-0.38,0.3,0.92,0.7,1,1,1510.0,0.06,0.04,76494.0,1093.0,25.0,28437.0,21428.0,0.59,0.67
702,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,3.0,-0.33,39100.0,40487.0,1,-0.76,0.6,0.96,0.62,0,1,20300.0,0.16,0.36,63651.0,1005.0,22.0,13779.0,9274.0,0.69,0.32
703,CUNY York College,Jamaica,NY,3.0,-0.33,38200.0,39557.0,1,-2.11,0.95,0.57,0.71,1,1,4866.0,0.69,0.42,56161.0,903.0,,4516.0,3729.0,0.4,0.2
704,University of New Mexico-Main Campus,Albuquerque,NM,3.0,-0.33,35900.0,37171.0,1,-0.42,0.8,0.92,0.62,0,1,15856.0,0.38,0.38,48671.0,1043.0,22.0,9065.0,7238.0,0.66,0.45
705,Ohio University-Main Campus,Athens,OH,3.0,-0.33,39500.0,40900.0,1,0.26,0.55,0.97,0.59,0,0,16974.0,0.06,0.17,58029.0,1086.0,24.0,19421.0,14206.0,0.86,0.65
706,Winthrop University,Rock Hill,SC,3.0,-0.34,36100.0,37421.0,1,-0.05,0.54,0.96,0.7,0,1,4362.0,0.29,0.13,57814.0,1050.0,23.0,14040.0,11529.0,0.68,0.58
707,Spring Arbor University,Spring Arbor,MI,3.0,-0.34,40400.0,41904.0,0,-0.08,0.51,0.97,0.7,0,1,2173.0,0.12,0.61,59471.0,1069.0,23.0,14961.0,12040.0,0.74,0.56
708,SUNY College at Plattsburgh,Plattsburgh,NY,3.0,-0.34,40600.0,42075.0,1,-0.08,0.53,0.91,0.59,1,0,5259.0,0.12,0.1,61101.0,1030.0,22.0,12908.0,7369.0,0.48,0.59
709,Lynchburg College,Lynchburg,VA,3.0,-0.34,40900.0,42395.0,0,-0.44,0.37,0.93,0.6,0,1,1696.0,0.17,0.12,72255.0,1002.0,22.0,21920.0,16863.0,0.68,0.52
710,University of Wisconsin-Milwaukee,Milwaukee,WI,3.0,-0.34,42000.0,43545.0,1,-0.42,0.48,0.94,0.58,0,1,18458.0,0.17,0.19,63859.0,1010.0,22.0,15200.0,10692.0,0.9,0.4
711,University of Wisconsin-Superior,Superior,WI,3.0,-0.34,35600.0,36891.0,1,-0.58,0.58,0.97,0.63,0,1,2370.0,0.02,0.27,51818.0,1030.0,22.0,12376.0,8651.0,0.89,0.44
712,Northeastern Illinois University,Chicago,IL,3.0,-0.35,36000.0,37373.0,1,-2.15,0.83,0.69,0.67,0,1,8153.0,0.45,0.38,59536.0,910.0,19.0,15739.0,15313.0,0.64,0.23
713,University of Minnesota-Twin Cities,Minneapolis,MN,3.0,-0.35,47800.0,49597.0,1,0.7,0.45,0.93,0.55,0,1,27699.0,0.08,0.12,69519.0,1251.0,28.0,14583.0,8204.0,0.47,0.7
714,Marshall University,Huntington,WV,3.0,-0.35,35100.0,36445.0,1,-0.42,0.69,0.98,0.57,0,1,11124.0,0.05,0.19,43728.0,1009.0,22.0,7707.0,5661.0,0.81,0.45
715,Bluefield State College,Bluefield,WV,3.0,-0.35,29400.0,30503.0,1,-1.41,0.83,0.99,0.64,0,0,2554.0,0.07,0.46,36034.0,935.0,20.0,10984.0,10839.0,0.69,0.28
716,LeTourneau University,Longview,TX,3.0,-0.35,50000.0,51878.0,0,0.82,0.48,0.88,0.57,0,1,2774.0,0.29,0.68,64845.0,1179.0,26.0,19416.0,16828.0,0.56,0.5
717,William Jewell College,Liberty,MO,3.0,-0.36,40300.0,41867.0,0,0.39,0.42,0.97,0.63,0,1,1261.0,0.08,0.14,67046.0,1159.0,26.0,20438.0,16735.0,0.54,0.63
718,Framingham State University,Framingham,MA,3.0,-0.36,43200.0,44905.0,1,-0.42,0.38,0.88,0.69,1,1,2725.0,0.08,0.13,79699.0,1026.0,23.0,15434.0,10657.0,0.66,0.52
719,University of Wisconsin-Madison,Madison,WI,3.0,-0.36,51000.0,52979.0,1,1.36,0.37,0.94,0.56,0,1,28446.0,0.08,0.08,69832.0,1268.0,28.0,16409.0,8315.0,0.66,0.82
720,University of North Carolina at Greensboro,Greensboro,NC,3.0,-0.37,37000.0,38485.0,1,-0.25,0.58,0.93,0.7,0,1,10224.0,0.26,0.19,59242.0,1019.0,22.0,8480.0,5054.0,0.65,0.53
721,Rutgers University-New Brunswick,New Brunswick,NJ,3.0,-0.37,54800.0,56983.0,1,0.99,0.51,0.79,0.57,1,1,27927.0,0.26,0.14,80711.0,1195.0,,19502.0,12894.0,0.61,0.77
722,Southern Illinois University-Carbondale,Carbondale,IL,3.0,-0.37,41500.0,43173.0,1,-0.42,0.61,0.93,0.46,0,1,16656.0,0.2,0.26,57797.0,991.0,21.0,14972.0,11070.0,0.44,0.45
723,Tennessee Wesleyan College,Athens,TN,3.0,-0.37,35300.0,36718.0,0,-0.27,0.56,0.97,0.64,0,0,763.0,0.08,0.25,48679.0,993.0,22.0,10063.0,8716.0,0.82,0.44
724,Lebanon Valley College,Annville,PA,3.0,-0.37,46100.0,47967.0,0,0.28,0.33,0.95,0.55,1,1,1756.0,0.08,0.08,64589.0,,,24595.0,18685.0,0.67,0.73
725,Lake Superior State University,Sault Ste Marie,MI,3.0,-0.37,35700.0,37126.0,1,-0.58,0.59,0.97,0.54,0,0,2386.0,0.05,0.22,53434.0,1031.0,22.0,12077.0,8253.0,0.91,0.35
726,Rockford University,Rockford,IL,3.0,-0.37,39100.0,40666.0,0,-0.37,0.54,0.93,0.58,0,1,1021.0,0.17,0.3,65643.0,970.0,21.0,18970.0,18382.0,0.44,0.31
727,Hope College,Holland,MI,3.0,-0.37,43300.0,45035.0,0,0.81,0.35,0.94,0.6,0,1,2890.0,0.09,0.01,69508.0,1203.0,27.0,22082.0,14939.0,0.82,0.79
728,Fitchburg State University,Fitchburg,MA,3.0,-0.38,42100.0,43840.0,1,-0.5,0.47,0.89,0.6,1,1,2760.0,0.09,0.15,70443.0,1012.0,22.0,11320.0,7691.0,0.68,0.47
729,Franklin and Marshall College,Lancaster,PA,3.0,-0.38,54800.0,57053.0,0,1.73,0.25,0.89,0.54,1,1,1851.0,0.14,0.01,80751.0,,,28762.0,12877.0,0.45,0.85
730,Southern New Hampshire University,Manchester,NH,3.0,-0.38,41800.0,43500.0,0,-0.91,0.49,0.93,0.61,1,1,3907.0,0.08,0.37,70651.0,980.0,,23477.0,19616.0,0.84,0.57
731,University of West Georgia,Carrollton,GA,3.0,-0.38,36900.0,38439.0,1,-0.66,0.56,0.93,0.62,0,1,7104.0,0.3,0.18,65255.0,976.0,21.0,10224.0,8172.0,0.55,0.39
732,SUNY Buffalo State,Buffalo,NY,3.0,-0.38,38900.0,40508.0,1,-0.83,0.6,0.92,0.62,1,1,9108.0,0.17,0.21,55986.0,975.0,,10127.0,6282.0,0.44,0.47
733,Eastern New Mexico University-Main Campus,Portales,NM,3.0,-0.39,30200.0,31476.0,1,-1.24,0.88,0.91,0.61,0,0,2905.0,0.4,0.35,41521.0,952.0,20.0,8556.0,6489.0,0.63,0.24
734,Transylvania University,Lexington,KY,3.0,-0.39,41100.0,42843.0,0,0.85,0.42,0.97,0.56,0,1,1052.0,0.08,0.02,54497.0,1223.0,27.0,18295.0,13974.0,0.84,0.7
735,University of Southern Indiana,Evansville,IN,3.0,-0.39,35500.0,36992.0,1,-1.0,0.54,0.98,0.6,0,1,8387.0,0.07,0.15,55758.0,985.0,21.0,12910.0,9447.0,0.72,0.38
736,North Carolina A & T State University,Greensboro,NC,3.0,-0.39,33600.0,35017.0,1,-1.41,0.7,0.93,0.51,0,1,7245.0,0.43,0.1,54082.0,890.0,19.0,6660.0,4983.0,0.61,0.41
737,Ouachita Baptist University,Arkadelphia,AR,3.0,-0.39,37500.0,39075.0,0,0.37,0.58,0.95,0.48,0,0,1209.0,0.2,0.02,56760.0,1099.0,24.0,14430.0,11175.0,0.64,0.63
738,University of Bridgeport,Bridgeport,CT,3.0,-0.4,40600.0,42347.0,0,-1.41,0.64,0.76,0.67,1,1,1181.0,0.43,0.37,64904.0,925.0,20.0,22984.0,21596.0,0.57,0.28
739,University of Massachusetts-Lowell,Lowell,MA,3.0,-0.4,48900.0,51001.0,1,0.08,0.49,0.85,0.46,1,1,5470.0,0.13,0.23,74819.0,1104.0,24.0,13976.0,8781.0,0.64,0.5
740,Shorter University,Rome,GA,3.0,-0.41,43000.0,44900.0,0,-0.13,0.49,0.91,0.71,0,1,2175.0,0.33,0.68,66018.0,982.0,21.0,14779.0,12830.0,0.65,0.47
741,Randolph-Macon College,Ashland,VA,3.0,-0.41,45700.0,47720.0,0,0.13,0.3,0.92,0.45,0,1,1116.0,0.18,0.01,79409.0,1098.0,25.0,22785.0,18006.0,0.56,0.62
742,University of Central Missouri,Warrensburg,MO,3.0,-0.41,36600.0,38244.0,1,-0.42,0.57,0.97,0.55,0,0,8653.0,0.08,0.17,57109.0,1010.0,22.0,11745.0,9120.0,0.8,0.5
743,University of Massachusetts-Amherst,Amherst,MA,3.0,-0.41,49600.0,51836.0,1,0.49,0.45,0.88,0.52,1,1,18651.0,0.11,0.08,75975.0,1185.0,26.0,16326.0,9198.0,0.66,0.67
744,Columbia College,Columbia,MO,3.0,-0.41,37600.0,39278.0,0,-0.42,0.74,0.93,0.66,0,1,7921.0,0.19,0.68,54682.0,,,11996.0,11866.0,,0.4
745,Western Kentucky University,Bowling Green,KY,3.0,-0.41,34600.0,36147.0,1,-0.75,0.69,0.97,0.59,0,1,13592.0,0.1,0.21,49316.0,990.0,21.0,10760.0,10740.0,0.92,0.43
746,Springfield College,Springfield,MA,3.0,-0.42,45100.0,47139.0,0,-0.42,0.52,0.87,0.64,1,1,3587.0,0.29,0.53,62355.0,1010.0,,27974.0,21468.0,0.68,0.67
